FECHA,IMPORTE,DIA,FECHA
2016-09-30,1533.02,30,2016-09-30
2016-10-31,1633.95,31,2016-10-31
2016-11-30,1640.7,30,2016-11-30
2016-12-31,1640.7,31,2016-12-31
2017-02-28,1640.7,28,2017-02-28
2017-03-31,1293.45,31,2017-03-31
2017-04-30,1642.52,30,2017-04-30
2017-05-31,2178.64,31,2017-05-31
2017-06-30,1947.61,30,2017-06-30
2017-07-31,1632.61,31,2017-07-31
2017-08-31,3796.03,31,2017-08-31
2017-09-30,1812.12,30,2017-09-30
2017-10-31,2099.33,31,2017-10-31
2017-11-30,1678.79,30,2017-11-30
2017-12-31,1630.93,31,2017-12-31
2018-02-28,2451.77,28,2018-02-28
2018-03-31,3964.43,31,2018-03-31
2018-04-30,1799.26,30,2018-04-30
2018-05-31,1799.26,31,2018-05-31
2018-06-30,1799.26,30,2018-06-30
2018-07-31,1789.39,31,2018-07-31
2018-08-31,1789.39,31,2018-08-31
2018-09-30,1789.39,30,2018-09-30
2018-10-31,2515.38,31,2018-10-31
2018-11-30,2382.94,30,2018-11-30
2018-12-31,1789.39,31,2018-12-31
2019-02-28,1675.77,28,2019-02-28
2019-03-31,1675.77,31,2019-03-31
2019-04-30,1675.77,30,2019-04-30
2019-05-31,3456.76,31,2019-05-31
2019-06-30,1675.77,30,2019-06-30
2019-10-31,1675.77,31,2019-10-31
2019-11-30,1675.77,30,2019-11-30
2019-12-31,1600.0,31,2019-12-31
2020-05-31,2004.95,31,2020-05-31
2020-07-31,2031.55,31,2020-07-31
