FECHA,IMPORTE,FECHA,DIA
2016-09-01,32.22,2016-09-01,1
2016-10-03,37.22,2016-10-03,3
2016-11-02,32.22,2016-11-02,2
2016-12-01,32.22,2016-12-01,1
2017-01-02,47.22,2017-01-02,2
2017-02-01,32.22,2017-02-01,1
2017-03-01,32.22,2017-03-01,1
2017-04-03,60.1,2017-04-03,3
2017-05-03,34.48,2017-05-03,3
2017-06-01,34.48,2017-06-01,1
2017-07-03,44.48,2017-07-03,3
2017-08-01,34.48,2017-08-01,1
2017-09-01,44.48,2017-09-01,1
2017-10-02,44.48,2017-10-02,2
2017-11-02,44.48,2017-11-02,2
2017-12-01,49.48,2017-12-01,1
2018-02-01,49.48,2018-02-01,1
2018-03-01,49.48,2018-03-01,1
2018-03-14,201.74999999999997,2018-03-14,14
2018-04-03,104.59,2018-04-03,3
2018-05-03,103.91999999999999,2018-05-03,3
2018-06-01,128.92,2018-06-01,1
2018-07-02,113.91999999999999,2018-07-02,2
2018-08-01,103.91999999999999,2018-08-01,1
2018-09-03,103.91999999999999,2018-09-03,3
2018-10-01,103.91999999999999,2018-10-01,1
2018-11-02,103.91999999999999,2018-11-02,2
2018-12-03,138.92,2018-12-03,3
2019-01-02,114.44999999999999,2019-01-02,2
2019-02-01,108.16999999999999,2019-02-01,1
2019-02-14,71.1,2019-02-14,14
2019-03-01,108.16999999999999,2019-03-01,1
2019-04-10,-72.38,2019-04-10,10
