,FECHA,IMPORTE
1482,2016-09-05,1533.02
1467,2016-10-04,1633.95
1428,2016-11-02,1640.7
1374,2016-12-07,1640.7
1346,2016-12-21,1633.41
1340,2016-12-28,1640.7
1284,2017-02-02,1640.7
1247,2017-03-02,1293.45
1209,2017-04-03,1642.52
1193,2017-05-02,2178.64
1154,2017-06-02,1947.61
1115,2017-07-03,1632.61
1068,2017-08-03,1623.42
1069,2017-08-03,2172.61
1004,2017-09-01,1812.12
982,2017-10-03,2099.33
953,2017-11-06,1678.79
936,2017-12-01,1630.93
906,2018-02-01,2451.77
856,2018-03-05,3964.43
798,2018-04-04,1799.26
744,2018-05-04,1799.26
697,2018-06-01,1799.26
642,2018-07-03,1789.39
628,2018-07-26,1882.53
605,2018-08-01,1789.39
542,2018-09-03,1789.39
517,2018-10-02,2515.38
487,2018-11-02,2382.94
437,2018-12-04,1789.39
431,2018-12-21,1882.53
370,2019-02-04,1675.77
333,2019-03-04,1675.77
310,2019-04-03,1675.77
306,2019-04-09,1500.0
275,2019-05-03,3456.76
227,2019-06-04,1675.77
181,2019-10-02,1675.77
164,2019-11-06,1675.77
148,2019-12-04,1600.0
134,2019-12-20,1758.22
127,2020-05-05,2004.95
33,2020-07-06,2031.55
16,2020-07-15,1888.97
